id,user_id,resume_name,file_url,file_type,resume_text,target_position,parse_status,is_default
1,1,测试工程师简历,/uploads/resume_1.pdf,pdf,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,测试工程师,0,1
2,1,前端开发简历,/uploads/resume_2.docx,docx,熟悉软件测试流程，掌握自动化测试框架。有2年测试经验。,前端开发,1,1
3,2,Java开发简历,/uploads/resume_3.docx,docx,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,Java开发,1,0
4,2,测试工程师简历,/uploads/resume_4.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,测试工程师,0,0
5,3,Python开发简历,/uploads/resume_5.docx,docx,熟练使用SQL、Excel、Python进行数据分析。熟悉Tableau、PowerBI等可视化工具。,Python开发,1,0
6,4,Python开发简历,/uploads/resume_6.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,Python开发,1,0
7,4,数据分析简历,/uploads/resume_7.docx,docx,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,数据分析,0,0
8,5,大数据开发简历,/uploads/resume_8.docx,docx,熟悉Java编程，掌握Spring Boot、MySQL、Redis等技术栈。有3年后端开发经验。,大数据开发,2,0
9,5,UI设计师简历,/uploads/resume_9.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,UI设计师,1,1
10,6,测试工程师简历,/uploads/resume_10.docx,docx,熟悉软件测试流程，掌握自动化测试框架。有2年测试经验。,测试工程师,2,0
11,7,Java开发简历,/uploads/resume_11.pdf,pdf,熟练使用SQL、Excel、Python进行数据分析。熟悉Tableau、PowerBI等可视化工具。,Java开发,0,0
12,8,Python开发简历,/uploads/resume_12.pdf,pdf,熟悉UI/UX设计，精通Sketch、Figma、PS等设计工具。有2年设计经验。,Python开发,0,0
13,9,大数据开发简历,/uploads/resume_13.pdf,pdf,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,大数据开发,2,0
14,9,运维工程师简历,/uploads/resume_14.docx,docx,熟悉Java编程，掌握Spring Boot、MySQL、Redis等技术栈。有3年后端开发经验。,运维工程师,2,0
15,10,产品经理简历,/uploads/resume_15.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,产品经理,2,0
16,11,前端开发简历,/uploads/resume_16.pdf,pdf,熟练掌握Python，熟悉机器学习、深度学习算法。有1年AI开发经验。,前端开发,1,0
17,11,前端开发简历,/uploads/resume_17.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,前端开发,0,0
18,12,产品经理简历,/uploads/resume_18.docx,docx,精通Java、Python，熟悉分布式系统架构。有5年开发经验，带领过10人团队。,产品经理,1,0
19,12,产品经理简历,/uploads/resume_19.docx,docx,熟练掌握Python，熟悉机器学习、深度学习算法。有1年AI开发经验。,产品经理,2,0
20,13,运维工程师简历,/uploads/resume_20.pdf,pdf,熟悉UI/UX设计，精通Sketch、Figma、PS等设计工具。有2年设计经验。,运维工程师,2,1
21,14,UI设计师简历,/uploads/resume_21.pdf,pdf,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,UI设计师,0,0
22,14,运维工程师简历,/uploads/resume_22.docx,docx,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,运维工程师,1,0
23,15,算法工程师简历,/uploads/resume_23.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,算法工程师,1,0
24,15,运维工程师简历,/uploads/resume_24.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,运维工程师,1,0
25,16,数据分析简历,/uploads/resume_25.docx,docx,熟悉Java编程，掌握Spring Boot、MySQL、Redis等技术栈。有3年后端开发经验。,数据分析,0,0
26,17,前端开发简历,/uploads/resume_26.docx,docx,熟悉UI/UX设计，精通Sketch、Figma、PS等设计工具。有2年设计经验。,前端开发,2,0
27,18,测试工程师简历,/uploads/resume_27.pdf,pdf,熟练掌握Python，熟悉机器学习、深度学习算法。有1年AI开发经验。,测试工程师,2,0
28,18,Java开发简历,/uploads/resume_28.pdf,pdf,熟悉UI/UX设计，精通Sketch、Figma、PS等设计工具。有2年设计经验。,Java开发,1,0
29,19,Java开发简历,/uploads/resume_29.docx,docx,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,Java开发,1,1
30,20,运维工程师简历,/uploads/resume_30.docx,docx,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,运维工程师,0,0
31,21,大数据开发简历,/uploads/resume_31.pdf,pdf,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,大数据开发,0,0
32,22,大数据开发简历,/uploads/resume_32.docx,docx,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,大数据开发,1,0
33,23,测试工程师简历,/uploads/resume_33.pdf,pdf,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,测试工程师,1,0
34,23,UI设计师简历,/uploads/resume_34.pdf,pdf,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,UI设计师,2,1
35,24,算法工程师简历,/uploads/resume_35.pdf,pdf,熟练使用SQL、Excel、Python进行数据分析。熟悉Tableau、PowerBI等可视化工具。,算法工程师,1,1
36,25,Java开发简历,/uploads/resume_36.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,Java开发,0,0
37,26,UI设计师简历,/uploads/resume_37.docx,docx,熟悉软件测试流程，掌握自动化测试框架。有2年测试经验。,UI设计师,2,0
38,26,UI设计师简历,/uploads/resume_38.pdf,pdf,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,UI设计师,2,1
39,27,数据分析简历,/uploads/resume_39.docx,docx,熟悉软件测试流程，掌握自动化测试框架。有2年测试经验。,数据分析,1,0
40,27,运维工程师简历,/uploads/resume_40.pdf,pdf,精通Vue.js、React框架，熟悉HTML5/CSS3/JavaScript。有2年前端开发经验。,运维工程师,0,0
41,28,运维工程师简历,/uploads/resume_41.docx,docx,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,运维工程师,0,0
42,29,前端开发简历,/uploads/resume_42.pdf,pdf,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,前端开发,1,0
43,29,算法工程师简历,/uploads/resume_43.docx,docx,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,算法工程师,1,1
44,30,测试工程师简历,/uploads/resume_44.docx,docx,精通Java、Python，熟悉分布式系统架构。有5年开发经验，带领过10人团队。,测试工程师,2,0
45,30,前端开发简历,/uploads/resume_45.docx,docx,熟练掌握Python，熟悉机器学习、深度学习算法。有1年AI开发经验。,前端开发,0,0
46,31,算法工程师简历,/uploads/resume_46.pdf,pdf,熟悉软件测试流程，掌握自动化测试框架。有2年测试经验。,算法工程师,2,0
47,32,UI设计师简历,/uploads/resume_47.docx,docx,熟练掌握Python，熟悉机器学习、深度学习算法。有1年AI开发经验。,UI设计师,1,0
48,33,数据分析简历,/uploads/resume_48.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,数据分析,2,0
49,33,UI设计师简历,/uploads/resume_49.pdf,pdf,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,UI设计师,1,1
50,34,Java开发简历,/uploads/resume_50.pdf,pdf,有2年产品经理经验，熟悉Axure、墨刀等原型设计工具。具备良好的需求分析能力。,Java开发,2,0
51,35,Python开发简历,/uploads/resume_51.docx,docx,熟悉Java编程，掌握Spring Boot、MySQL、Redis等技术栈。有3年后端开发经验。,Python开发,1,0
52,36,算法工程师简历,/uploads/resume_52.pdf,pdf,熟悉Linux系统运维，掌握Docker、K8s容器化技术。有3年运维经验。,算法工程师,1,0
53,37,数据分析简历,/uploads/resume_53.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,数据分析,2,1
54,38,数据分析简历,/uploads/resume_54.pdf,pdf,熟悉Java编程，掌握Spring Boot、MySQL、Redis等技术栈。有3年后端开发经验。,数据分析,2,1
55,39,测试工程师简历,/uploads/resume_55.docx,docx,熟悉Hadoop、Spark、Flink等大数据技术栈。有2年大数据开发经验。,测试工程师,2,0
