job_name,company_name,city,salary_min,salary_max,education,experience,skill_tags,publish_time
财务专员,腾讯科技,西安,12000,15000,硕士,1-3年,"Vue,React,JavaScript",2026-01-06
大数据开发工程师,字节跳动,上海,8000,10000,大专,5-10年,"大数据,Hadoop,Spark",2026-01-14
软件测试,B站,上海,7000,15000,不限,1年以内,"大数据,Hadoop,Spark",2026-01-23
安卓开发,顺丰科技,北京,6000,9000,不限,1年以内,"大数据,Hadoop,Spark",2026-01-11
UI设计师,腾讯科技,杭州,13000,17000,大专,1年以内,"Java,MySQL,Spring",2026-01-23
测试工程师,拼多多,上海,11000,18000,本科,3-5年,"Vue,React,JavaScript",2026-04-13
运维工程师,猿辅导,南京,6000,11000,硕士,5-10年,"运维,Linux,Docker",2026-04-22
Python开发工程师,好未来,武汉,14000,17000,大专,5-10年,"产品设计,Axure,需求分析",2026-03-04
HRBP,网易,武汉,12000,14000,大专,不限,"大数据,Hadoop,Spark",2026-01-14
产品经理,滴滴,深圳,13000,22000,不限,1年以内,"Java,MySQL,Spring",2026-03-19
财务专员,华为,广州,8000,16000,硕士,5-10年,"运维,Linux,Docker",2026-01-31
产品经理,华为,成都,10000,15000,硕士,5-10年,"Python,机器学习,深度学习",2026-04-25
算法工程师,商汤科技,西安,13000,15000,不限,5-10年,"产品设计,Axure,需求分析",2026-03-08
实习生,猿辅导,北京,13000,19000,大专,1年以内,"产品设计,Axure,需求分析",2026-02-17
UI设计师,小米,上海,10000,20000,大专,不限,"产品设计,Axure,需求分析",2026-03-14
测试工程师,顺丰科技,成都,12000,15000,大专,5-10年,"运维,Linux,Docker",2026-01-09
Golang工程师,携程,成都,8000,11000,不限,5-10年,"运维,Linux,Docker",2026-03-25
后端开发工程师,百度,杭州,14000,16000,本科,1-3年,"产品设计,Axure,需求分析",2026-03-12
大数据开发工程师,小米,苏州,11000,13000,不限,3-5年,"大数据,Hadoop,Spark",2026-04-30
Python开发工程师,猿辅导,杭州,7000,9000,不限,不限,"运维,Linux,Docker",2026-03-12
安卓开发,B站,成都,15000,17000,大专,不限,"HR,招聘,培训",2026-02-15
Golang工程师,好未来,西安,10000,14000,大专,3-5年,"运维,Linux,Docker",2026-01-10
Golang工程师,百度,西安,15000,24000,不限,1-3年,"Vue,React,JavaScript",2026-04-28
前端开发工程师,拼多多,南京,12000,16000,不限,1年以内,"大数据,Hadoop,Spark",2026-04-13
前端开发工程师,美团,深圳,8000,11000,本科,3-5年,"大数据,Hadoop,Spark",2026-01-27
软件测试,小米,上海,15000,20000,大专,1-3年,"Java,MySQL,Spring",2026-01-09
财务专员,阿里巴巴,杭州,15000,25000,硕士,不限,"产品设计,Axure,需求分析",2026-01-21
Golang工程师,贝壳找房,广州,8000,14000,大专,5-10年,"Vue,React,JavaScript",2026-01-23
运维工程师,科大讯飞,北京,12000,21000,本科,1-3年,"Python,机器学习,深度学习",2026-01-07
iOS开发,猿辅导,上海,14000,17000,本科,5-10年,"运维,Linux,Docker",2026-02-26
后端开发工程师,网易,武汉,8000,10000,大专,1-3年,"HR,招聘,培训",2026-01-20
UI设计师,拼多多,南京,13000,15000,大专,1-3年,"大数据,Hadoop,Spark",2026-03-13
实习生,字节跳动,深圳,11000,16000,本科,5-10年,"HR,招聘,培训",2026-01-09
HRBP,美团,苏州,8000,13000,硕士,1-3年,"运维,Linux,Docker",2026-03-31
软件测试,京东,成都,10000,14000,不限,5-10年,"大数据,Hadoop,Spark",2026-04-25
大数据开发工程师,科大讯飞,西安,13000,21000,硕士,5-10年,"大数据,Hadoop,Spark",2026-02-17
